work_id,category,state,ida,mp_name,constituency,work_desc,recommended_date,sanction_date,sanctioned_amount,status,sanction_delay_days,ml_predicted_cost,deviation_pct,mod_z_score,agency_median_deviation
157000.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Development of Huladenahalli Main road to Doddamalle Village road.,2024-12-10,2025-07-29,200000.0,Work partially Completed,231.0,216083.81992994106,-0.07443324509514769,-0.2829543059135973,-0.0653355524516997
157001.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Road development from Tekal to Kolar main road to Boothamannabetta of K.G.Halli GP,2024-12-10,2025-07-29,200000.0,Work partially Completed,231.0,454302.96806379926,-0.559765147799093,-0.2829543059135973,-0.0653355524516997
157002.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Construction of CC Road nearby Government Primary School at Devarahalli Village of Nutave GP,2024-12-10,2025-07-29,300000.0,Work partially Completed,231.0,523448.35426902917,-0.42687755620335116,-0.2829543059135973,-0.0653355524516997
157003.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Chickamale tankbed road development at Chickamale village of Huladenahalli GP,2024-12-10,2025-07-29,300000.0,Work partially Completed,231.0,287039.4226902176,0.04515260373753561,-0.2829543059135973,-0.0653355524516997
157004.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Construction of retaining wall to the drain at Chavaramangala village of Trunsi GP,2024-12-10,2025-07-29,300000.0,Sanction,231.0,479367.35113777086,-0.37417515129481654,-0.2829543059135973,-0.0653355524516997
157201.0,Normal/Others,KARNATAKA,CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Installing community drinking water plants at inside the APMC Market Chikkaballapur,2024-12-12,2025-05-07,800000.0,Vendor Identification,146.0,539107.4440157802,0.48393424887782327,0.49399039974980147,0.4065032031159126
157203.0,Normal/Others,KARNATAKA,CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of bus-sheds at Bagepalli-Chelur road Laghumuddenapalli Cross Yellampalli GP,2024-12-12,2025-05-07,1000000.0,Vendor Identification,146.0,311347.4668554774,2.2118456273298803,0.49399039974980147,0.4065032031159126
157205.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Kodagi Tirumalapura  Construction of Government higher education school rooms at Hurali Chikkanahalli GP,2024-12-12,2025-07-10,500000.0,Sanction,210.0,929943.4574282961,-0.4623329020640453,0.08278774295599381,0.15677970483681702
157206.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Strishakthi Bhavana Construction of community centers at Bangalore North Kadabagere GP,2024-12-12,2025-04-04,499365.0,Physical Inspection,113.0,326445.2065846939,0.5297054143462917,0.08278774295599381,0.15677970483681702
157207.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of rooms and facilities for hospitals  at kadabagere health center Bangalore North Kadabagere GP,2024-12-12,2025-04-04,499365.0,Physical Inspection,113.0,510305.6967362373,-0.021439495592956832,0.08278774295599381,0.15677970483681702
157208.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of bus-sheds at Bangalore North Dasanapura GP Devannanapalya Grama.,2024-12-12,2026-07-02,1000000.0,Sanction,567.0,340476.6657318712,1.9370588373521902,0.08278774295599381,0.15677970483681702
157210.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of boundary walls for Gopalapura school Bangalore North Gopalapura GP Yelahanka,2024-12-12,2025-07-10,500000.0,Sanction,210.0,917517.3139640008,-0.45505115555822884,0.08278774295599381,0.15677970483681702
157211.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction drainage slab at Hurali Chikkanahalli to Kodagi Tirumalapura Yelahanka Hurali Chikkanahalli GP,2024-12-12,2025-07-10,498466.0,Physical Inspection,210.0,863719.7313680776,-0.4228845516699482,0.08278774295599381,0.15677970483681702
157212.0,Trust and Society,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of community centers and community halls savitha Samaja Samudhaya Bhavana Contusion work Bangalore North,2024-12-12,2026-07-02,1000000.0,Sanction,567.0,361808.12311650766,1.763895932977671,0.08278774295599381,0.15677970483681702
157215.0,Normal/Others,KARNATAKA,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),DR.K.SUDHAKAR,CHIKBALLAPUR,Installing community drinking water plants at Sripathi Halli grama Nelamangala (T) Honnenahalli GP,2024-12-12,2025-05-30,800000.0,Physical Inspection,169.0,303108.6889169941,1.6393172787569905,0.0,1.6393172787569905
157218.0,Normal/Others,KARNATAKA,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Installing community drinking water plants at Solur (H) Tuppadahalli grama Bittasandra GP,2024-12-12,2025-10-10,800000.0,Work partially Completed,302.0,505367.6523143137,0.5830059489095268,0.5198637499210003,0.42221609652796
157221.0,Normal/Others,KARNATAKA,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of bus-sheds Arisinakuntte adarsha nagara maruthi circle ward no 31 Nelamangala,2024-12-12,2025-05-30,1000000.0,Vendor Identification,169.0,373226.6406513661,1.6793371401751243,0.0,1.6393172787569905
157224.0,Normal/Others,KARNATAKA,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Installing community drinking water plants at Mailanahalli Sulur (H) Banavadi GP,2024-12-12,2025-10-10,800000.0,Work partially Completed,302.0,473352.9288784393,0.6900708777603153,0.5198637499210003,0.42221609652796
157226.0,Normal/Others,KARNATAKA,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),DR.K.SUDHAKAR,CHIKBALLAPUR,Installing community drinking water plants at Nelamangala(T) Kodigehalli (GP) Mavinakunte Grama,2024-12-12,2026-08-29,800000.0,Sanction,625.0,511550.95425512874,0.5638715817955672,0.0,1.6393172787569905
